model_snapshot,item_id,lower,point,upper,source
taxonomy-r3/claude-haiku-4-5@2026-07-02,accipiter_accipitridae_genus,45.0,52.0,60.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,amazona_psittacidae_genus,28.0,32.0,36.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,anas_anatidae_genus,8.0,10.0,12.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,aptenodytes_spheniscidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,archilochus_trochilidae_genus,2.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,bolborhynchus_psittacidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,bubo_strigidae_genus,8.0,10.0,12.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,carpodacus_fringillidae_genus,20.0,27.0,35.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,chaetocercus_trochilidae_genus,4.0,5.0,7.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,claravis_columbidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,columba_columbidae_genus,8.0,10.0,13.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,corvus_corvidae_genus,38.0,45.0,52.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,erythropitta_pittidae_genus,3.0,5.0,7.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,eudyptula_spheniscidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,falco_falconidae_genus,35.0,40.0,45.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_accipitridae,220.0,240.0,260.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_alcidae,20.0,25.0,30.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_anatidae,140.0,160.0,180.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_columbidae,300.0,330.0,360.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_corvidae,115.0,130.0,145.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_falconidae,60.0,67.0,75.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_fringillidae,200.0,230.0,260.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_phasianidae,155.0,180.0,210.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_pittidae,28.0,32.0,36.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_psittacidae,330.0,370.0,410.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_ramphastidae,35.0,42.0,50.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_spheniscidae,17.0,18.0,19.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_strigidae,190.0,220.0,250.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,family_trochilidae,320.0,360.0,400.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,fratercula_alcidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,fringilla_fringillidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,ithaginis_phasianidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,microhierax_falconidae_genus,4.0,5.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,nucifraga_corvidae_genus,2.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_accipitriformes,220.0,250.0,280.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_anseriformes,130.0,150.0,170.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_apodiformes,430.0,470.0,510.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_charadriiformes,320.0,360.0,400.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_columbiformes,300.0,350.0,400.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_falconiformes,55.0,67.0,80.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
